Field1	Field2	Title1	Image1	productlink_URL1	Money1	Price1	Tag1	Info1							
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	OVERSIZED BLAZER	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/oversized-blazer-p02753132.html		2	69.90 USD	69.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	DRESS WITH DRAPED NECKLINE	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/dress-with-draped-neckline-p01165134.html			35.90 USD	12.99 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	MANTECO WOOL TOGGLE JACKET ZW COLLECTION	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/manteco-wool-toggle-jacket-zw-collection-p02091792.html			169.00 USD	89.99 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	STUDDED OVERSIZED POPLIN SHIRT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/studded-oversized-poplin-shirt-p08443894.html	FEW ITEMS LEFT		47.90 USD	47.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	JEWEL BUTTON SHOULDER PAD KNIT CARDIGAN	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/jewel-button-shoulder-pad-knit-cardigan-p04192001.html	FEW ITEMS LEFT		59.90 USD	59.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	KNIT CARDIGAN WITH SHORT SLEEVES	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/knit-cardigan-with-short-sleeves-p05536003.html			39.90 USD	39.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	SOFT HOODED COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/soft-hooded-coat-p03046266.html		3	69.90 USD	69.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	TABBED COLLAR CROPPED SHIRT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/tabbed-collar-cropped-shirt-p03897051.html			45.90 USD	45.90 USD
		DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	129.00 USD	129.00 USD	FEW ITEMS LEFT	2	DOUBLE BREASTED HIGH COLLAR WOOL BLEND COAT	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/double-breasted-high-collar-wool-blend-coat-p08557102.html	FEW ITEMS LEFT	2	129.00 USD	129.00 USD
	"NO, GO TO THE INDIA SITE."	MATTE FINISH NAIL POLISH TOP COAT	https://static.zara.net/photos///2023/I/2/1/p/4400/465/899/2/w/198/4400465899_6_1_1.jpg?ts=1697014167034	https://www.zara.com/us/en/matte-finish-nail-polish-top-coat-p24400465.html	10.90 USD	10.90 USD									
